step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,isFlaggedFraud,isFraud
44,21149.23,522,0,108,21257.23,0,1,0,0,0,0,0
405,288315.37,11,288326.37,891497.5,603182.13,1,0,0,0,0,0,0
139,1219.93,0,0,0,0,0,0,0,1,0,0,0
261,15706.5,52011,36304.5,311803.15,327509.65,0,1,0,0,0,0,0
17,127472.19,20427,0,25445,152917.19,0,1,0,0,0,0,0
255,126922.6,1729801.88,1856724.48,1830440.51,1703517.91,1,0,0,0,0,0,0
301,13550.88,611643.85,625194.74,153887.88,140337,1,0,0,0,0,0,0
329,4258.36,223803.15,219544.79,0,0,0,0,0,1,0,0,0
188,145932.56,29216,175148.56,3703438.73,3557506.17,1,0,0,0,0,0,0
349,279067.51,0,0,285332.32,564399.83,0,1,0,0,0,0,0
383,38280.26,0,0,0,0,0,0,0,1,0,0,0
351,395.28,0,0,0,0,0,0,0,1,0,0,0
162,163840.88,69613,0,366501.13,530342.01,0,1,0,0,0,0,0
134,442831.38,118177.98,0,543748.29,986579.67,0,1,0,0,0,0,0
234,32395.7,26501,0,0,0,0,0,0,1,0,0,0
235,10792.99,71699,60906.01,0,0,0,0,0,1,0,0,0
205,157014.74,0,0,500866.4,657881.14,0,1,0,0,0,0,0
381,77730.96,0,0,0,0,0,0,0,1,0,0,0
328,53608.34,0,0,2961140.1,3014748.44,0,1,0,0,0,0,0
305,23405.23,111989.08,88583.85,0,0,0,0,0,1,0,0,0
285,178096.81,4874478.28,5052575.09,1304575.82,1126479.01,1,0,0,0,0,0,0
94,1798.48,10273,8474.52,0,0,0,0,0,1,0,0,0
330,17862.91,80352,62489.09,0,0,0,0,0,1,0,0,0
356,120778.92,36671,157449.92,54596.19,0,1,0,0,0,0,0,0
226,138704.89,5219056.4,5357761.29,359779.58,221074.69,1,0,0,0,0,0,0
46,228390.31,1744008.35,1972398.67,341609.81,113219.5,1,0,0,0,0,0,0
298,22872.58,4034251.37,4057123.96,3733127.79,3710255.2,1,0,0,0,0,0,0
209,169544.53,211982,42437.47,1252216.13,1421760.66,0,1,0,0,0,0,0
212,154788.82,0,0,324858.09,479646.91,0,1,0,0,0,0,0
280,213751.17,0,0,404237.04,617988.22,0,1,0,0,0,0,0
404,171205.04,1238,172443.04,0,0,1,0,0,0,0,0,0
19,164833.64,10828,0,85214.88,315247.5,0,1,0,0,0,0,0
301,85428.65,0,0,2698626.02,2784054.67,0,1,0,0,0,0,0
357,2100849.12,0,0,3691235.67,5792084.79,0,0,0,0,1,0,0
204,25933.63,115482,141415.63,416428.1,390494.46,1,0,0,0,0,0,0
166,19788.73,0,0,0,0,0,0,0,1,0,0,0
185,197054.12,0,0,733790.16,930844.28,0,1,0,0,0,0,0
186,6905.7,0,0,0,0,0,0,0,1,0,0,0
426,178173.77,69478,0,0,178173.77,0,1,0,0,0,0,0
44,23625.42,1028,0,0,0,0,0,0,1,0,0,0
178,29737.31,0,0,0,0,0,0,0,1,0,0,0
688,124180.79,55469,179649.79,46859.32,0,1,0,0,0,0,0,0
371,232109.03,0,0,629723.26,861832.29,0,1,0,0,0,0,0
158,338215.82,0,0,4670375.02,5008590.84,0,1,0,0,0,0,0
306,262703.64,43662.45,0,2672133.17,2934836.81,0,0,0,0,1,0,0
355,8.37,0,0,0,0,0,0,0,1,0,0,0
321,1525.31,0,0,324842.27,326367.58,0,1,0,0,0,0,0
19,10864.05,0,0,0,0,0,0,0,1,0,0,0
188,5044.12,439930.09,434885.97,0,0,0,0,0,1,0,0,0
279,273032.35,48827,0,1103768.53,1376800.88,0,1,0,0,0,0,0
37,136335.46,0,0,4419726.72,4518576.6,0,1,0,0,0,0,0
132,19511.95,0,0,0,0,0,0,0,1,0,0,0
139,382633.45,1497368.89,1880002.34,439264.91,56631.46,1,0,0,0,0,0,0
20,92005.66,0,0,106977.34,198983,0,1,0,0,0,0,0
403,96536.42,244,0,1881393.57,1977929.98,0,1,0,0,0,0,0
382,90869.61,2013334.64,2104204.26,410081.91,319212.29,1,0,0,0,0,0,0
253,3632.13,4791335.66,4794967.78,9973.21,6341.09,1,0,0,0,0,0,0
373,19276.52,0,0,0,0,0,0,0,1,0,0,0
23,116791.45,10432,0,0,116791.45,0,1,0,0,0,0,0
371,1141.13,30302,29160.87,0,0,0,0,0,1,0,0,0
44,214223.49,12261,226484.49,5751340.84,5537117.35,1,0,0,0,0,0,0
254,32915.25,5273121.41,5306036.66,262451.88,229536.63,1,0,0,0,0,0,0
256,445.95,31869,31423.05,0,0,0,0,0,1,0,0,0
35,200865.24,0,0,1034411.22,1235276.47,0,1,0,0,0,0,0
236,11751.14,94773.87,83022.73,0,0,0,0,0,1,0,0,0
308,85494.38,52686,0,6614529.55,6700023.93,0,1,0,0,0,0,0
251,392555.98,15076,407631.98,523626.8,131070.82,1,0,0,0,0,0,0
18,3454.44,224216.98,220762.54,0,0,0,0,0,1,0,0,0
132,192421.88,382810.68,575232.56,253467.23,61045.35,1,0,0,0,0,0,0
159,9030.54,7123,0,0,0,0,0,0,1,0,0,0
407,4434.1,232,0,0,0,0,0,0,1,0,0,0
188,4605.69,109,0,0,0,0,0,0,1,0,0,0
186,99993.42,0,0,1054874.98,1319029.53,0,1,0,0,0,0,0
93,1173.93,558,0,0,0,0,0,0,1,0,0,0
158,5909.44,25032,19122.56,0,0,0,0,0,1,0,0,0
327,334864.82,95492,430356.82,154.41,0,1,0,0,0,0,0,0
297,81564.9,203669,122104.1,7432767.36,7514332.26,0,1,0,0,0,0,0
190,958.4,0,0,0,0,0,0,0,1,0,0,0
18,175951.5,10620,0,326335.06,596692.93,0,1,0,0,0,0,0
397,199741.33,120904,320645.33,283465.74,83724.42,1,0,0,0,0,0,0
154,10619.1,427852.87,417233.77,0,0,0,0,0,1,0,0,0
96,8634.63,0,0,0,0,0,0,0,1,0,0,0
352,281623.62,0,0,307738.17,589361.8,0,1,0,0,0,0,0
157,113391.23,11178546.82,11291938.06,1334683.43,1221292.19,1,0,0,0,0,0,0
177,13191.5,0,0,76756.04,89947.54,0,1,0,0,0,0,0
161,459041.79,9503108.84,9962150.63,2638652.11,2179610.33,1,0,0,0,0,0,0
153,190717.63,123,0,0,190717.63,0,1,0,0,0,0,0
12,249716.72,115092.44,0,11953758.23,12203474.94,0,1,0,0,0,0,0
136,400245.44,0,0,1497302.79,1644862.76,0,1,0,0,0,0,0
12,13126.66,72721,59594.34,0,0,0,0,0,1,0,0,0
321,24436.83,31347,6910.17,0,0,0,0,0,1,0,0,0
12,10514.47,239887.25,229372.78,0,0,0,0,0,1,0,0,0
7,7379.95,141310,133930.05,0,0,0,0,0,1,0,0,0
259,8007.33,100184,92176.67,45794.57,53801.9,0,1,0,0,0,0,0
20,113392.55,106228,219620.55,0,0,1,0,0,0,0,0,0
358,13571.49,31289,17717.51,0,0,0,0,0,1,0,0,0
251,309021.75,11070,0,382263.82,691285.58,0,1,0,0,0,0,0
275,14513.77,0,0,2229578.74,2244092.52,0,0,0,0,1,0,0
372,247013.13,39403.78,0,582409.5,829422.62,0,1,0,0,0,0,0
332,11718.15,137054,125335.85,0,0,0,0,0,1,0,0,0
227,410557.35,0,0,641053.75,1051611.1,0,1,0,0,0,0,0
140,9066.93,0,0,0,0,0,0,0,1,0,0,0
153,489.79,0,0,0,0,0,0,0,1,0,0,0
282,62922.72,335,63257.72,198785.75,135863.04,1,0,0,0,0,0,0
371,145027.54,0,0,207092.78,352120.32,0,1,0,0,0,0,0
16,147202.45,1509793.95,1656996.4,3826987.52,4264354.58,1,0,0,0,0,0,0
348,765576.34,31220,0,0,765576.34,0,0,0,0,1,0,0
184,77443.25,0,0,2423800.63,2501243.87,0,0,0,0,1,0,0
165,60734.01,5342567.56,5403301.57,91427.06,30693.05,1,0,0,0,0,0,0
347,18218.21,20544,2325.79,0,0,0,0,0,1,0,0,0
154,107434.35,136,0,132353.24,239787.59,0,1,0,0,0,0,0
281,1407575.47,0,0,3937596.6,5345172.07,0,0,0,0,1,0,0
8,3770.01,0,0,0,0,0,0,0,1,0,0,0
95,312236.55,0,0,1295624.42,1607860.97,0,1,0,0,0,0,0
236,81318.61,20215,101533.61,1826390.28,1745071.67,1,0,0,0,0,0,0
141,156904.1,18534,175438.1,0,0,1,0,0,0,0,0,0
10,13742.86,68090.02,54347.16,0,0,0,0,0,1,0,0,0
186,76149.51,0,0,253147.94,329297.45,0,1,0,0,0,0,0
138,32595.33,21811,54406.33,24952.48,0,1,0,0,0,0,0,0
177,221681.36,0,0,6389360.27,6611041.63,0,1,0,0,0,0,0
16,21890.39,40246,18355.61,0,0,0,0,0,1,0,0,0
185,283941.21,352,0,0,283941.21,0,1,0,0,0,0,0
355,58716.36,0,0,2336664,2395380.35,0,1,0,0,0,0,0
130,178512.48,0,0,9923191.71,10101704.19,0,1,0,0,0,0,0
401,115566.48,11646549.37,11762115.85,458620.37,343053.89,1,0,0,0,0,0,0
288,203.75,0,0,0,0,0,0,0,1,0,0,0
179,274002.47,107935,381937.47,8717374.66,8443372.19,1,0,0,0,0,0,0
352,301057.46,102114,403171.46,178934.51,0,1,0,0,0,0,0,0
129,85051.5,0,0,740266.29,825317.79,0,1,0,0,0,0,0
19,37844.75,0,0,166659.74,319474.96,0,1,0,0,0,0,0
376,215125.97,23174,0,0,215125.97,0,1,0,0,0,0,0
255,22260.75,159010,136749.25,0,0,0,0,0,1,0,0,0
327,40562.13,163,0,1277264.67,1317826.79,0,1,0,0,0,0,0
9,10588.17,1308451.81,1297863.65,0,0,0,0,0,1,0,0,0
235,13289.22,630510,617220.78,0,0,0,0,0,1,0,0,0
277,9798.4,0,0,714694.39,724492.79,0,1,0,0,0,0,0
134,12922.01,0,0,0,0,0,0,0,1,0,0,0
37,18362.05,877782.35,859420.29,0,0,0,0,0,1,0,0,0
45,313589.56,2852279.72,3165869.27,9578131.35,9264541.79,1,0,0,0,0,0,0
93,8122.74,0,0,0,0,0,0,0,1,0,0,0
551,2185.34,163,0,0,0,0,0,0,1,0,0,0
256,6078.15,9084.5,3006.34,0,0,0,0,0,1,0,0,0
36,241822.17,47402,0,202799,444621.17,0,1,0,0,0,0,0
306,2069.11,0,0,0,0,0,0,0,1,0,0,0
155,2269.12,621022.65,618753.53,0,0,0,0,0,1,0,0,0
142,12272.36,25171.96,12899.59,0,0,0,0,0,1,0,0,0
229,166045.75,3130617.89,3296663.64,903280.84,737235.09,1,0,0,0,0,0,0
41,538188.21,0,0,1288454.74,1612974.36,0,1,0,0,0,0,0
10,8266.1,79934.73,71668.63,0,0,0,0,0,1,0,0,0
164,101643.09,0,0,2386893.93,2488537.02,0,1,0,0,0,0,0
211,34497.06,0,0,0,0,0,0,0,1,0,0,0
166,13350.7,1896452.42,1909803.12,384260.95,370910.26,1,0,0,0,0,0,0
20,33179.43,3852998.23,3886177.67,786987.36,753807.93,1,0,0,0,0,0,0
306,16286.63,461527.47,445240.84,0,0,0,0,0,1,0,0,0
399,21553.96,4270641.66,4292195.62,322279.98,300726.02,1,0,0,0,0,0,0
179,301954.24,20997,0,4634877.5,4936831.74,0,1,0,0,0,0,0
306,71595.05,42079,0,3634834.54,3706429.59,0,1,0,0,0,0,0
308,166446.61,32171.61,0,7331284.79,7497731.39,0,1,0,0,0,0,0
186,35373.78,0,0,6330902.04,6366275.82,0,1,0,0,0,0,0
206,121257.24,15945862.21,16067119.45,344315.69,223058.46,1,0,0,0,0,0,0
330,31448.04,53366,21917.96,175333.99,206782.03,0,1,0,0,0,0,0
210,933.93,0,0,0,0,0,0,0,1,0,0,0
18,40529.58,0,0,0,0,0,0,0,1,0,0,0
403,51171.7,12286788.47,12337960.17,97646.15,46474.45,1,0,0,0,0,0,0
138,23629.24,119592.35,95963.1,0,0,0,0,0,1,0,0,0
15,200021.89,5802905.53,6002927.42,464787.95,264766.05,1,0,0,0,0,0,0
210,312025.69,0,0,1847754.42,2159780.11,0,1,0,0,0,0,0
347,31411.19,0,0,1671127.14,1977143.04,0,1,0,0,0,0,0
378,277953.16,2162,280115.16,0,0,1,0,0,0,0,0,0
187,343966.5,0,0,3665450.52,4009417.02,0,1,0,0,0,0,0
238,10589.81,5094,0,0,0,0,0,0,1,0,0,0
254,62588.57,0,0,1069491.32,1132079.89,0,1,0,0,0,0,0
17,644841.26,0,0,1409510.31,2054351.57,0,0,0,0,1,0,0
121,1949.36,57491,55541.64,0,0,0,0,0,1,0,0,0
249,4468.62,31031,26562.38,0,0,0,0,0,1,0,0,0
300,15447.93,0,0,0,0,0,0,0,1,0,0,0
202,341673.43,0,0,844809.25,1186482.69,0,1,0,0,0,0,0
138,21643.17,0,0,0,0,0,0,0,1,0,0,0
373,24795.56,19819,0,0,0,0,0,0,1,0,0,0
394,183535.55,0,0,2062467.78,2246003.33,0,0,0,0,1,0,0
399,38759.03,79600,40840.97,0,0,0,0,0,1,0,0,0
40,14792.96,0,0,400766.84,77611.01,0,0,0,0,1,0,0
157,16296.71,0,0,0,0,0,0,0,1,0,0,0
226,268489.8,5052,273541.8,34040.59,0,1,0,0,0,0,0,0
167,112145.25,91,0,0,112145.25,0,0,0,0,1,0,0
42,4511.33,6286,1774.67,0,0,0,0,0,1,0,0,0
156,92886.84,9068,101954.84,0,0,1,0,0,0,0,0,0
190,140149.77,13342,0,656707.98,796857.75,0,1,0,0,0,0,0
322,10782.74,0,0,0,0,0,0,0,1,0,0,0
165,283571.72,0,0,3969366.47,4252938.19,0,1,0,0,0,0,0
408,9684,260,0,0,0,0,0,0,1,0,0,0
204,4515.59,5970.95,1455.37,0,0,0,0,0,1,0,0,0
372,237937.18,91687,0,284507.91,522445.1,0,1,0,0,0,0,0
236,20710.63,268590.49,247879.85,0,0,0,0,0,1,0,0,0
405,25881.46,0,0,0,0,0,0,0,1,0,0,0
406,36487.72,477995,441507.28,0,0,0,0,0,1,0,0,0
182,186065.24,12242505.59,12428570.83,2129679.55,1943614.31,1,0,0,0,0,0,0
13,265704.29,21769,287473.29,276997.89,11293.59,1,0,0,0,0,0,0
158,128392.39,307,0,6383638.99,6512031.38,0,1,0,0,0,0,0
16,278082.99,99901.58,0,41722.35,319805.33,0,1,0,0,0,0,0
370,20213.62,10908,31121.62,57228.7,37015.08,1,0,0,0,0,0,0
325,9191.03,48274,39082.97,1386189.1,1395380.13,0,0,1,0,0,0,0
325,44565.09,0,0,2922706.45,2967271.53,0,1,0,0,0,0,0
154,20834.63,0,0,0,0,0,0,0,1,0,0,0
179,380439.3,0,0,409980.94,790420.24,0,0,0,0,1,0,0
210,74696.51,21693,0,0,74696.51,0,1,0,0,0,0,0
22,60129.93,1555,0,15808.34,75938.26,0,1,0,0,0,0,0
13,7616.11,0,0,6360339.25,6367955.37,0,1,0,0,0,0,0
153,453.92,7950.87,7496.95,0,0,0,0,0,1,0,0,0
208,3885.96,0,0,0,0,0,0,0,1,0,0,0
9,477359.72,0,0,4628194.21,5035905.32,0,0,0,0,1,0,0
234,174555.57,0,0,728882.52,903438.09,0,0,0,0,1,0,0
180,275724.88,289,0,188791.84,464516.72,0,1,0,0,0,0,0
37,174181.18,1383872.84,1558054.02,476209.73,302028.55,1,0,0,0,0,0,0
35,85041.25,349239,434280.25,225051.68,140010.43,1,0,0,0,0,0,0
350,10650.84,24558.02,13907.18,0,0,0,0,0,1,0,0,0
356,76844.24,43035,0,0,76844.24,0,1,0,0,0,0,0
236,178212.58,111949.72,0,685995.88,864208.46,0,1,0,0,0,0,0
288,21670.33,119174.84,97504.51,0,0,0,0,0,1,0,0,0
8,35056.09,0,0,0,0,0,0,0,1,0,0,0
16,1772.6,823,0,0,0,0,0,0,1,0,0,0
203,1652.91,28294.74,26641.83,0,0,0,0,0,1,0,0,0
251,498911.3,0,0,707050.23,1205961.52,0,1,0,0,0,0,0
687,104807.39,0,0,410654.89,515462.28,0,1,0,0,0,0,0
183,7472.06,4053,0,178300.41,185772.47,0,1,0,0,0,0,0
183,15052.36,513423.73,498371.37,0,0,0,0,0,1,0,0,0
186,258467.78,4781992.3,5040460.08,2687785.6,2429317.82,1,0,0,0,0,0,0
546,428759.86,39696,0,0,428759.86,0,0,0,0,1,0,0
374,4556.15,5109296.4,5113852.54,49188.93,44632.78,1,0,0,0,0,0,0
478,5399.46,37196,31796.54,0,0,0,0,0,1,0,0,0
259,165130.9,322650.01,487780.91,1084281.31,919150.41,1,0,0,0,0,0,0
45,5412.28,132723,127310.72,0,0,0,0,0,1,0,0,0
254,438614.95,2523456.1,2962071.05,2319128.92,1880513.97,1,0,0,0,0,0,0
239,787.85,82115,81327.15,0,0,0,0,0,1,0,0,0
255,491824.93,120,0,65315.84,557140.77,0,1,0,0,0,0,0
210,10671.41,0,0,1009073.63,1019745.03,0,1,0,0,0,0,0
347,100173.31,70533,0,190841.92,291015.23,0,1,0,0,0,0,0
135,105419.54,15375,0,0,105419.54,0,1,0,0,0,0,0
37,210414.83,580,0,29068.61,239483.44,0,1,0,0,0,0,0
252,176820.63,0,0,1031365.2,1208185.83,0,1,0,0,0,0,0
236,182744.56,5655171.53,5837916.09,737438.37,554693.81,1,0,0,0,0,0,0
135,92305.06,1327446.29,1419751.34,729160,636854.94,1,0,0,0,0,0,0
347,41902.56,14560,0,0,0,0,0,0,1,0,0,0
546,6118.87,0,0,0,0,0,0,0,1,0,0,0
307,149862.17,3255189.68,3405051.85,494871.34,345009.17,1,0,0,0,0,0,0
239,4946.24,20667,15720.76,0,0,0,0,0,1,0,0,0
210,123176.61,819,0,335759.7,458936.31,0,1,0,0,0,0,0
40,11701.23,30409,18707.77,0,0,0,0,0,1,0,0,0
330,103982.65,0,0,105263.46,209246.11,0,1,0,0,0,0,0
403,256788.85,10263,0,672330.72,929119.57,0,1,0,0,0,0,0
154,64473.91,0,0,598533.17,663007.08,0,1,0,0,0,0,0
394,21515.9,0,0,0,0,0,0,0,1,0,0,0
204,128963.15,0,0,6323886.55,6452849.7,0,0,0,0,1,0,0
